name,municipality,code,coordinates
Khatanga Airport,Khatanga,HTG,"102.49099731445312, 71.97810363769531"
Igarka Airport,Igarka,IAA,"86.62190246582031, 67.43720245361328"
Norilsk-Alykel Airport,Norilsk,NSK,"87.33219909667969, 69.31109619140625"
Turukhansk Airport,Turukhansk,THX,"87.9353027344, 65.797203064"
Urubupunga Airport,Castilho,URB,"-51.564800262451, -20.777099609375"
Anapa Vityazevo Airport,Anapa,AAQ,"37.347301483154, 45.002101898193"
Yeysk Airport,Yeysk,EIK,"38.21, 46.68"
Gelendzhik Airport,Gelendzhik,GDZ,"38.0124807358, 44.5820926295"
Krasnodar Pashkovsky International Airport,Krasnodar,KRR,"39.170501708984, 45.034698486328"
Uytash Airport,Makhachkala,MCX,"47.65230178833008, 42.81679916381836"
Mineralnyye Vody Airport,Mineralnyye Vody,MRV,"43.08190155029297, 44.225101470947266"
Nalchik Airport,Nalchik,NAL,"43.636600494384766, 43.512901306152344"
Beslan Airport,Beslan,OGZ,"44.6066017151, 43.2051010132"
Magas Airport,Magas,IGT,"45.0125999451, 43.322299957300004"
Stavropol Shpakovskoye Airport,Stavropol,STW,"42.11280059814453, 45.10919952392578"
Platov International Airport,Rostov-on-Don,ROV,"39.924722, 47.493888"
Rostov-on-Don Airport,Rostov-on-Don,RVI,"39.8181, 47.258203"
Taganrog Yuzhny Airport,Taganrog,TGK,"38.8491667, 47.1983333"
Volgodonsk Airport,,VLK,"42.0728, 47.682098"
Sochi International Airport,Sochi,AER,"39.9566, 43.449902"
Astrakhan Airport,Astrakhan,ASF,"48.0063018799, 46.2832984924"
Elista Airport,Elista,ESL,"44.33089828491211, 46.3739013671875"
Volgograd International Airport,Volgograd,VOG,"44.34550094604492, 48.782501220703125"
Havasu Airpark,,LHU,"-114.364114, 34.457279"
Amchitka Army Airfield,Amchitka Island,AHT,"179.259166667, 51.3777777778"
Cape Air Seaplanes on Boston Harbor Seaplane Base,Boston,BNH,"-71.025832, 42.352502"
Williston Basin International Airport,Williston,XWA,"-103.748797, 48.258387"
Spirit Lake Municipal Airport,Spirit Lake,RTL,"-95.139198303223, 43.387500762939"
Grumman Bethpage Airport,Bethpage,BPA,"-73.4960021973, 40.749401092499994"
Chelyabinsk Balandino Airport,Chelyabinsk,CEK,"61.5033, 55.305801"
Magnitogorsk International Airport,Magnitogorsk,MQF,"58.755699157714844, 53.39310073852539"
Sabetta International Airport,Sabetta,SBT,"72.052222, 71.219167"
Salekhard Airport,Salekhard,SLY,"66.61100006103516, 66.5907974243164"
Mys Kamenny Airport,Mys Kamennyi,YMK,"73.5670013428, 68.483001709"
Krasnoselkup Airport,Krasnoselkup,KKQ,"82.455, 65.717"
Tarko-Sale Airport,Tarko-Sale,TQL,"77.81809997559999, 64.9308013916"
Urengoy Airport,Urengoy,UEN,"78.43699646, 65.9599990845"
Berezovo Airport,,EZV,"65.03050231933594, 63.92100143432617"
Khanty Mansiysk Airport,Khanty-Mansiysk,HMA,"69.08609771728516, 61.028499603271484"
Igrim Airport,,IRM,"64.4393005371, 63.1987991333"
Nyagan Airport,Nyagan,NYA,"65.614998, 62.110001"
Sovetskiy Airport,Sovetskiy,OVS,"63.60191345214844, 61.326622009277344"
Uray Airport,Uray,URJ,"64.82669830322266, 60.10329818725586"
Beloyarskiy Airport,,EYK,"66.698601, 63.686901"
Izhevsk Airport,Izhevsk,IJK,"53.45750045776367, 56.82809829711914"
Pobedilovo Airport,Kirov,KVX,"49.348300933838, 58.503299713135"
Nadym Airport,Nadym,NYM,"72.69889831542969, 65.48090362548828"
Novy Urengoy Airport,Novy Urengoy,NUX,"76.52030181884766, 66.06939697265625"
Nizhnevartovsk Airport,Nizhnevartovsk,NJC,"76.48359680175781, 60.94929885864258"
Raduzhny Airport,Raduzhnyi,RAT,"77.32890319820001, 62.1585998535"
Usino Airport,Usino,USO,"145.371, -5.5276"
Bolshoye Savino Airport,Perm,PEE,"56.021198272705, 57.914501190186"
Kogalym International Airport,Kogalym,KGP,"74.53379821777344, 62.190399169921875"
Nefteyugansk Airport,Nefteyugansk,NFG,"72.6500015258789, 61.108299255371094"
Noyabrsk Airport,Noyabrsk,NOJ,"75.2699966430664, 63.18330001831055"
Surgut Airport,Surgut,SGC,"73.40180206298828, 61.34370040893555"
Koltsovo Airport,Yekaterinburg,SVX,"60.802700042725, 56.743099212646"
Tobolsk Airport,Tobolsk,TOX,"68.23190307617188, 58.135799407958984"
Roshchino International Airport,Tyumen,TJM,"65.3243026733, 57.189601898199996"
Kurgan Airport,Kurgan,KRO,"65.41560363769531, 55.47529983520508"
Balkanabat Airport,Balkanabat,BKN,"54.366001, 39.480598"
Monument Valley Airport,Goulding's Lodge,GMV,"-110.200996399, 37.016700744599994"
Ashgabat International Airport,Ashgabat,ASB,"58.361, 37.986801"
Turkmenbashi Airport,Krasnovodsk,KRW,"53.007198, 40.063301"
Mary Airport,Mary,MYP,"61.896702, 37.6194"
DaÅoguz Airport,DaÅoguz,TAZ,"59.826698, 41.761101"
Turkmenabat Airport,TÃ¼rkmenabat,CRZ,"63.61330032348633, 39.08330154418945"
Dushanbe Airport,Dushanbe,DYU,"68.8249969482, 38.543300628699996"
Kulob Airport,Kulyab,TJU,"69.80500030517578, 37.98809814453125"
Khudzhand Airport,Khudzhand,LBD,"69.6947021484375, 40.21540069580078"
Qurghonteppa International Airport,Kurgan-Tyube,KQT,"68.86470031738281, 37.86640167236328"
Andizhan Airport,Andizhan,AZN,"72.2939987183, 40.7276992798"
Fergana International Airport,Fergana,FEG,"71.7450027466, 40.358798980699994"
Namangan Airport,Namangan,NMA,"71.5567016602, 40.9846000671"
Nukus Airport,Nukus,NCU,"59.62329864501953, 42.488399505615234"
Urgench Airport,Urgench,UGC,"60.641700744628906, 41.58430099487305"
Navoi Airport,Navoi,NVI,"65.1707992553711, 40.1171989440918"
Bukhara Airport,Bukhara,BHK,"64.4832992553711, 39.775001525878906"
Karshi Khanabad Airport,Khanabad,KSQ,"65.9215011597, 38.8335990906"
Sugraly Airport,Zarafshan,AFS,"64.23320007324219, 41.61389923095703"
Samarkand Airport,Samarkand,SKD,"66.98380279541016, 39.70050048828125"
Termez Airport,Termez,TMJ,"67.30999755859375, 37.28670120239258"
Tashkent International Airport,Tashkent,TAS,"69.2811965942, 41.257900238"
Ustupo Airport,Ustupo,UTU,"-77.9337, 9.1283"
Kostroma Sokerkino Airport,Kostroma,KMW,"41.019401550299996, 57.7969017029"
Bykovo Airport,Moscow,BKA,"38.0600013733, 55.6171989441"
Grabtsevo Airport,Kaluga,KLF,"36.3666687012, 54.5499992371"
Ivanovo South Airport,Ivanovo,IWA,"40.940799713134766, 56.93939971923828"
Staroselye Airport,Rybinsk,RYB,"38.92940139770508, 58.10419845581055"
Bryansk Airport,Bryansk,BZK,"34.176399, 53.214199"
Zhukovsky International Airport,Moscow,ZIA,"38.150002, 55.553299"
Domodedovo International Airport,Moscow,DME,"37.90629959106445, 55.40879821777344"
Tunoshna Airport,,IAR,"40.15739822387695, 57.560699462890625"
Sheremetyevo International Airport,Moscow,SVO,"37.4146, 55.972599"
Migalovo Air Base,Tver,KLD,"35.7577018737793, 56.82469940185547"
Ostafyevo International Airport,Moscow,OSF,"37.507222, 55.511667"
Chkalovskiy Air Base,Moscow,CKL,"38.061699, 55.8783"
Belgorod International Airport,Belgorod,EGO,"36.5900993347168, 50.643798828125"
Kursk East Airport,Kursk,URS,"36.29560089111328, 51.7505989074707"
Lipetsk Airport,Lipetsk,LPK,"39.53779983520508, 52.70280075073242"
Voronezh International Airport,Voronezh,VOZ,"39.22959899902344, 51.81420135498047"
Oryol Yuzhny Airport,Orel,OEL,"36.0022010803, 52.934700012200004"
Donskoye Airport,Tambov,TBW,"41.482799530029, 52.806098937988"
Manumu Airport,Manumu,UUU,"147.5735, -9.0746"
Turlatovo Airport,Ryazan,RZN,"39.855201721191406, 54.55590057373047"
Klokovo Airfield,Tula,TYA,"37.6, 54.239"
Vnukovo International Airport,Moscow,VKO,"37.2615013123, 55.5914993286"
Ukhta Airport,Ukhta,UCT,"53.8046989440918, 63.566898345947266"
Inta Airport,Inta,INA,"60.110321044921875, 66.0548324584961"
Pechora Airport,Pechora,PEX,"57.13079833984375, 65.12110137939453"
Usinsk Airport,Usinsk,USK,"57.3671989440918, 66.00469970703125"
Vorkuta Airport,Vorkuta,VKT,"63.993099212646484, 67.48860168457031"
Ust-Tsylma Airport,Ust-Tsylma,UTS,"52.20033645629999, 65.43729400630001"
Syktyvkar Airport,Syktyvkar,SCW,"50.84510040283203, 61.64699935913086"
Nizhny Novgorod Strigino International Airport,Nizhny Novgorod,GOJ,"43.784000396729, 56.230098724365"
Bugulma Airport,Bugulma,UUA,"52.801700592041016, 54.63999938964844"
Kazan International Airport,Kazan,KZN,"49.278701782227, 55.606201171875"
Begishevo Airport,Nizhnekamsk,NBC,"52.092498779296875, 55.564701080322266"
Yoshkar-Ola Airport,Yoshkar-Ola,JOK,"47.904701232910156, 56.700599670410156"
Cheboksary Airport,Cheboksary,CSY,"47.3473014831543, 56.090301513671875"
Zhigansk Airport,Zhigansk,ZIX,"123.361000061, 66.7965011597"
